"Keywords","Average Searches","Average Clicks","CTR","Competition","KD","Tag Occurrences","Character Count","Google Searches"
"shopping tote",0,0,0,135833,"","1","13",880
"shopping tote bag",3,0,0,131931,"100","1","17","N/A"
"recycled bag",1,0,0,31733,"100","1","12","N/A"
"grocery shopping bag",0,0,0,45081,"","1","20",590
"silicone bead pen",0,0,0,17241,"","1","17","N/A"
"red flags",2,0,0,228197,"100","1","9","N/A"
"spicy",9,5,56,77453,"100","1","5",49500
"three days in june",0,0,0,0,"","1","18","N/A"
"anne tyler",0,0,0,69,"","1","10","N/A"
"png designs",0,0,0,817817,"","1","11",720
"girly png",7,1,14,132773,"100","1","9",110
"valentine shirt png",3,0,0,54953,"100","1","19","N/A"
"retro valentines png",0,0,0,25753,"","1","20","N/A"
"valentine books png",0,0,0,1726,"","1","19","N/A"
"black and white",0,0,0,4665083,"","1","15",90500
"completed",0,0,0,131843,"","1","9","N/A"
"cousin sticker",1,0,0,9528,"100","1","14","N/A"
"done reading",0,0,0,0,"","1","12","N/A"
"finished reading",0,0,0,213,"","1","16","N/A"
"functional icon",0,0,0,9689,"","1","15","N/A"
"hobonichi sticker",5,1,20,28066,"100","1","17","N/A"
"icon scripts",0,0,0,0,"","1","12","N/A"
"mandy lynn plans",0,0,0,2686,"","1","16","N/A"
"kindle",0,0,0,148948,"","1","6",673000
"kindle lock screen",32,16,50,3386,"100","1","18",720
"paperwhite",1,0,0,33695,"100","1","10","N/A"
"kindle era",0,0,0,3169,"","1","10","N/A"
"anti social",9,0,0,78519,"100","1","11","N/A"
"romantasy when",0,0,0,0,"","1","14","N/A"
"the moon hatched",0,0,0,340,"","1","16","N/A"
"sarah a parker",0,0,0,572,"","1","14","N/A"
"i cant",0,0,0,34791,"","1","6","N/A"
"vinyl sticker",0,0,0,976296,"","1","13",22200
"cute sticker",0,0,0,562207,"","1","12",22200
"agatha christie",22,26,118,2121,"99","1","15","N/A"
"agatha christie tee",0,0,0,101,"","1","19","N/A"
"agatha christie gift",0,0,0,634,"","1","20","N/A"
"miss marple",3,0,0,353,"100","1","11",14800
"miss marple tee",0,0,0,0,"","1","15","N/A"
"miss marple gift",0,0,0,0,"","1","16","N/A"
"miss marple flower",0,0,0,0,"","1","18","N/A"
"st mary mead",0,0,0,0,"","1","12","N/A"
"st mary mead tee",0,0,0,0,"","1","16","N/A"
